,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA,CLASSES_DEF_FISICA,CLASSES_DEF_VISUAL
0,114,1,PÃºblica Federal,Centro-Oeste,Mato Grosso,92.0,58.0,44.0,17.0,2.0,0.2719298245614035,0.4298245614035088,0.9385964912280702,0.2017543859649122,0.2017543859649122,0,1
1,149,2,PÃºblica Federal,Centro-Oeste,Distrito Federal,39.0,32.0,27.0,32.0,8.0,2.7785234899328857,4.167785234899329,3.704697986577181,1.8523489932885904,1.8523489932885904,2,2
2,116,3,PÃºblica Federal,Nordeste,Sergipe,190.0,56.0,94.0,16.0,2.0,0.7758620689655172,1.2155172413793105,1.7931034482758617,0.5344827586206896,0.5344827586206896,1,1
3,107,4,PÃºblica Federal,Norte,Amazonas,64.0,33.0,54.0,60.0,2.0,0.0,0.0,0.7196261682242991,0.0,0.0,0,0
4,100,5,PÃºblica Federal,Nordeste,PiauÃ­,137.0,50.0,73.0,36.0,3.0,4.2,5.88,5.88,2.52,2.52,2,2
5,55,6,PÃºblica Federal,Sudeste,Minas Gerais,24.0,14.0,31.0,27.0,3.0,4.1454545454545455,5.563636363636364,4.872727272727274,2.763636363636365,2.763636363636365,2,2
6,76,7,PÃºblica Federal,Sudeste,SÃ£o Paulo,0.0,19.0,5.0,0.0,0.0,1.5789473684210529,2.1052631578947367,1.8421052631578947,1.0526315789473684,1.0526315789473684,1,1
7,84,8,PÃºblica Federal,Sudeste,Minas Gerais,18.0,6.0,15.0,4.0,1.0,2.071428571428572,3.1071428571428568,2.761904761904762,1.380952380952381,1.380952380952381,2,2
8,58,9,PÃºblica Estadual,Sul,ParanÃ¡,18.0,6.0,15.0,13.0,0.0,2.7413793103448274,3.672413793103448,2.2931034482758617,1.8103448275862069,1.8103448275862069,2,2
11,64,12,PÃºblica Federal,Sul,Rio Grande do Sul,46.0,21.0,37.0,17.0,0.0,3.9375,5.90625,5.21875,2.625,2.625,2,2
15,108,17,PÃºblica Federal,Sudeste,Minas Gerais,61.0,47.0,42.0,13.0,4.0,3.1666666666666665,3.1759259259259265,3.555555555555556,2.1111111111111107,2.1111111111111107,2,2
22,39,24,PÃºblica Estadual,Nordeste,Bahia,3.0,0.0,3.0,2.0,0.0,0.7692307692307693,1.1538461538461535,1.0256410256410255,0.5128205128205128,0.5128205128205128,1,2
25,83,29,PÃºblica Estadual,Nordeste,CearÃ¡,32.0,18.0,95.0,3.0,2.0,0.0,0.0,0.7108433734939759,0.0,0.0,0,1
27,15,32,PÃºblica Estadual,Nordeste,Alagoas,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
28,9,33,PÃºblica Estadual,Sudeste,SÃ£o Paulo,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
29,16,34,PÃºblica Estadual,Sudeste,SÃ£o Paulo,37.0,23.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
30,7,35,PÃºblica Estadual,Sudeste,SÃ£o Paulo,6.0,3.0,0.0,0.0,0.0,2.7142857142857144,2.7142857142857144,1.8571428571428568,1.8571428571428568,1.8571428571428568,2,0
31,5,36,PÃºblica Estadual,Sudeste,SÃ£o Paulo,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
32,7,37,PÃºblica Estadual,Sudeste,SÃ£o Paulo,1.0,0.0,5.0,4.0,0.0,0.8571428571428571,1.7142857142857142,1.2857142857142858,0.4285714285714285,0.4285714285714285,1,0
33,129,38,PÃºblica Estadual,Norte,ParÃ¡,12.0,26.0,13.0,2.0,0.0,0.4031007751937984,0.4031007751937984,0.627906976744186,0.2015503875968992,0.2015503875968992,1,1
34,131,40,PÃºblica Estadual,Nordeste,Bahia,17.0,13.0,30.0,11.0,2.0,0.0305343511450381,0.0229007633587786,0.2366412213740458,0.0229007633587786,0.0229007633587786,0,1
35,57,43,PÃºblica Estadual,Sul,Santa Catarina,25.0,36.0,176.0,87.0,7.0,4.7368421052631575,6.298245614035088,5.596491228070176,3.1578947368421053,3.1578947368421053,2,0
