,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,MATERIAL_DIGITAL,MATERIAL_AMPLIADO,MATERIAL_TATIL,MATERIAL_IMPRESSO,MATERIAL_AUDIO,MATERIAL_BRAILLE,MATERIAL_LIBRAS,DISCIPLINA_LIBRAS,TRADUTOR_LIBRAS,GUIA_INTERPRETE,RECURSOS_COMUNICACAO,RECURSOS_INFORMATICA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
0,114,1,Pública Federal,Centro-Oeste,Mato Grosso,31.0,48.0,20.0,20.0,25.0,5.0,15.0,149.0,57.0,21.0,44.0,26.0,1.0614035087719298,2.1052631578947367,3.1842105263157894,1.0614035087719298,1.0614035087719298
1,149,2,Pública Federal,Centro-Oeste,Distrito Federal,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,3.48993288590604,7.852348993288591,6.97986577181208,3.48993288590604,3.48993288590604
2,116,3,Pública Federal,Nordeste,Sergipe,100.0,60.0,68.0,84.0,46.0,77.0,122.0,284.0,147.0,118.0,59.0,93.0,2.896551724137931,6.077586206896552,8.681034482758621,2.896551724137931,2.896551724137931
3,107,4,Pública Federal,Norte,Amazonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9906542056074767,0.0,0.0
4,100,5,Pública Federal,Nordeste,Piauí,0.0,299.0,299.0,299.0,0.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,8.97,20.93,20.93,8.97,8.97
5,55,6,Pública Federal,Sudeste,Minas Gerais,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5.0,99.0,99.0,7.2,14.49090909090909,12.690909090909091,7.2,7.2
6,76,7,Pública Federal,Sudeste,São Paulo,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,24.0,24.0,1.263157894736842,2.526315789473684,2.210526315789474,1.263157894736842,1.263157894736842
7,84,8,Pública Federal,Sudeste,Minas Gerais,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,2.0,4.5,4.0,2.0,2.0
8,58,9,Pública Estadual,Sul,Paraná,47.0,47.0,47.0,42.0,47.0,47.0,13.0,42.0,0.0,0.0,47.0,47.0,3.1551724137931036,6.396551724137931,4.103448275862069,3.1551724137931036,3.1551724137931036
9,115,10,Privada sem fins lucrativos,Sul,Paraná,118.0,148.0,55.0,83.0,148.0,123.0,69.0,148.0,148.0,137.0,144.0,144.0,4.252173913043478,9.565217391304348,8.617391304347827,4.252173913043478,4.252173913043478
10,33,11,Privada sem fins lucrativos,Nordeste,Pernambuco,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,0.3333333333333333,0.6666666666666666,0.6060606060606061,0.3333333333333333,0.3333333333333333
11,64,12,Pública Federal,Sul,Rio Grande do Sul,120.0,120.0,120.0,120.0,120.0,120.0,120.0,118.0,120.0,120.0,120.0,120.0,7.5,16.875,14.96875,7.5,7.5
12,163,13,Privada sem fins lucrativos,Sul,Rio Grande do Sul,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.9079754601226994,2.042944785276074,1.8159509202453987,0.9079754601226994,0.9079754601226994
13,114,14,Privada sem fins lucrativos,Sul,Rio Grande do Sul,147.0,150.0,0.0,3.0,150.0,150.0,3.0,150.0,150.0,150.0,0.0,150.0,2.6315789473684212,7.894736842105263,6.605263157894737,2.6315789473684212,2.6315789473684212
