,CODIGO_IES,NOME_IES,SIGLA_IES,TIPO_CATEGORIA_ADM,TIPO_ORG_ACADEMICA,REGIAO,UF
0,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,Universidade,Centro-Oeste,Mato Grosso
1,2,UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,Universidade,Centro-Oeste,Distrito Federal
2,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Pública Federal,Universidade,Nordeste,Sergipe
3,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,Universidade,Norte,Amazonas
4,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Pública Federal,Universidade,Sudeste,Minas Gerais
5,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Privada sem fins lucrativos,Universidade,Sul,Paraná
6,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Privada sem fins lucrativos,Universidade,Nordeste,Pernambuco
7,13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Privada sem fins lucrativos,Universidade,Sul,Rio Grande do Sul
8,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Privada sem fins lucrativos,Universidade,Sul,Rio Grande do Sul
9,18,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Privada sem fins lucrativos,Universidade,Sul,Rio Grande do Sul
10,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Privada sem fins lucrativos,Universidade,Sudeste,São Paulo
11,20,UNIVERSIDADE DE PASSO FUNDO,UPF,Privada sem fins lucrativos,Universidade,Sul,Rio Grande do Sul
12,21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Privada sem fins lucrativos,Universidade,Sul,Rio Grande do Sul
13,19229,FACULDADE PRESBITERIANA MACKENZIE BRASILIA,FPMB,Privada sem fins lucrativos,Faculdade,Centro-Oeste,Distrito Federal
14,353,FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ,FEMPAR,Privada sem fins lucrativos,Faculdade,Sul,Paraná
15,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Privada sem fins lucrativos,Universidade,Sudeste,São Paulo
16,195,FACULDADE PRESBITERIANA MACKENZIE RIO,,Privada sem fins lucrativos,Faculdade,Sudeste,Rio de Janeiro
17,23,UNIVERSIDADE FEEVALE,FEEVALE,Privada sem fins lucrativos,Universidade,Sul,Rio Grande do Sul
18,24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Pública Estadual,Universidade,Nordeste,Bahia
19,26,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,ENCE,Pública Federal,Faculdade,Sudeste,Rio de Janeiro
20,27,UNIVERSIDADE VALE DO RIO VERDE,UNINCOR,Privada sem fins lucrativos,Universidade,Sudeste,Minas Gerais
21,29,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Pública Estadual,Universidade,Nordeste,Ceará
22,30,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,Privada sem fins lucrativos,Universidade,Sudeste,Minas Gerais
23,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,Pública Estadual,Universidade,Nordeste,Alagoas
24,18817,Faculdade de Tecnologia de São Roque,FATEC-SR,Pública Estadual,Faculdade,Sudeste,São Paulo
25,4024,FACULDADE DE TECNOLOGIA DE MOCOCA,FATEC,Pública Estadual,Faculdade,Sudeste,São Paulo
26,18049,Faculdade de Tecnologia de Taubaté,FATEC TAUBATÉ,Pública Estadual,Faculdade,Sudeste,São Paulo
27,19501,Faculdade de Tecnologia Sebrae,FATEC SEBRAE,Pública Estadual,Faculdade,Sudeste,São Paulo
28,19864,Faculdade de Tecnologia de Itapira,FATEC Itapira,Pública Estadual,Faculdade,Sudeste,São Paulo
29,24672,FACULDADE DE TECNOLOGIA DE MATÃO,,Pública Estadual,Faculdade,Sudeste,São Paulo
30,23438,Faculdade de Tecnologia de Araras,,Pública Estadual,Faculdade,Sudeste,São Paulo
31,967,FACULDADE DE TECNOLOGIA DE TAQUARITINGA,FATEC/TQ,Pública Estadual,Faculdade,Sudeste,São Paulo
32,15581,Faculdade de Tecnologia de São José dos Campos - Jessen Vidal,FATECSJCAMPOS,Pública Estadual,Faculdade,Sudeste,São Paulo
33,15695,Faculdade de Tecnologia Dom Amaury Castanho,Fatec Itu,Pública Estadual,Faculdade,Sudeste,São Paulo
34,37,FACULDADE DE TECNOLOGIA DE JAHU,FATEC-JAHU,Pública Estadual,Faculdade,Sudeste,São Paulo
35,15585,Faculdade de Tecnologia Santo André,FATEC-SA,Pública Estadual,Faculdade,Sudeste,São Paulo
36,19578,Faculdade de Tecnologia de Cotia,FATEC COTIA,Pública Estadual,Faculdade,Sudeste,São Paulo
37,15714,Fatec Arthur Azevedo - Mogi Mirim,FATECMM,Pública Estadual,Faculdade,Sudeste,São Paulo
38,4023,FACULDADE DE TECNOLOGIA DE MAUÁ,FATEC MAUÁ,Pública Estadual,Faculdade,Sudeste,São Paulo
39,5627,FACULDADE DE TECNOLOGIA DE PRESIDENTE PRUDENTE,FATEC,Pública Estadual,Faculdade,Sudeste,São Paulo
40,15715,FACULDADE DE TECNOLOGIA PROFESSOR ANTÔNIO SEABRA,FATEC LINS,Pública Estadual,Faculdade,Sudeste,São Paulo
41,15682,Faculdade de Tecnologia de Piracicaba,Fatec Piracicaba,Pública Estadual,Faculdade,Sudeste,São Paulo
42,15746,Faculdade de Tecnologia do Ipiranga,FATECIPI,Pública Estadual,Faculdade,Sudeste,São Paulo
43,15696,Faculdade de Tecnologia de Sertãozinho,FATEC SERTÃOZINHO,Pública Estadual,Faculdade,Sudeste,São Paulo
44,33,FACULDADE DE TECNOLOGIA DE SOROCABA,FATEC SO,Pública Estadual,Faculdade,Sudeste,São Paulo
45,15709,Faculdade de Tecnologia de Osasco - Prefeito Hirant Sanazar,Fatec Osasco,Pública Estadual,Faculdade,Sudeste,São Paulo
46,15753,FACULDADE DE TECNOLOGIA NILO DE STÉFANI - JABOTICABAL,FATEC JBL,Pública Estadual,Faculdade,Sudeste,São Paulo
47,23459,Faculdade de Tecnologia de Adamantina,,Pública Estadual,Faculdade,Sudeste,São Paulo
48,15803,FACULDADE DE TECNOLOGIA DE TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO,FATEC TATUÍ,Pública Estadual,Faculdade,Sudeste,São Paulo
49,15757,Faculdade de Tecnologia de Barueri,Fatec Barueri,Pública Estadual,Faculdade,Sudeste,São Paulo
50,4025,FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO,FATECRP,Pública Estadual,Faculdade,Sudeste,São Paulo
51,15639,Faculdade de Tecnologia de Itaquaquecetuba,Fatec Itaqua,Pública Estadual,Faculdade,Sudeste,São Paulo
52,4021,FACULDADE DE TECNOLOGIA DE GARÇA,FATECGA,Pública Estadual,Faculdade,Sudeste,São Paulo
53,17942,Faculdade de Tecnologia do Tatuapé,FATEC-TT,Pública Estadual,Faculdade,Sudeste,São Paulo
54,19739,Faculdade de Tecnologia de Campinas,FATEC CAMPINAS,Pública Estadual,Faculdade,Sudeste,São Paulo
55,15687,Faculdade de Tecnologia de Pindamonhangaba,FATEC PI,Pública Estadual,Faculdade,Sudeste,São Paulo
56,15784,Faculdade de Tecnologia Estudante Rafael Almeida Camarinha - Marilia,Fatec Marilia,Pública Estadual,Faculdade,Sudeste,São Paulo
57,15693,Faculdade de Tecnologia de Itapetininga - Prof.Antônio Belizandro Barbosa Rezende,Fatec - Itapetininga,Pública Estadual,Faculdade,Sudeste,São Paulo
58,23705,FACULDADE DE TECNOLOGIA DE FRANCO DA ROCHA,,Pública Estadual,Faculdade,Sudeste,São Paulo
59,19500,Faculdade de Tecnologia de São Carlos,FATEC São Carlo,Pública Estadual,Faculdade,Sudeste,São Paulo
60,16410,Faculdade de Tecnologia de Catanduva,FATEC Catanduva,Pública Estadual,Faculdade,Sudeste,São Paulo
61,15576,Faculdade de Tecnologia de Mogi das Cruzes,FATEC-MC,Pública Estadual,Faculdade,Sudeste,São Paulo
62,36,FACULDADE DE TECNOLOGIA RUBENS LARA,FATEC-BS,Pública Estadual,Faculdade,Sudeste,São Paulo
63,19862,Faculdade de Tecnologia Jorge Caram Sabbag,FATEC Bebedouro,Pública Estadual,Faculdade,Sudeste,São Paulo
64,15769,Faculdade de Tecnologia de Jales,Fatec Jales,Pública Estadual,Faculdade,Sudeste,São Paulo
65,17952,Faculdade de Tecnologia de Jacareí,FATEC Jacareí,Pública Estadual,Faculdade,Sudeste,São Paulo
66,15745,Faculdade de Tecnologia de São Caetano do Sul,FATEC SCS,Pública Estadual,Faculdade,Sudeste,São Paulo
67,15708,Faculdade de Tecnologia Dr. Thomaz Novelino,FATEC Franca,Pública Estadual,Faculdade,Sudeste,São Paulo
68,15704,Faculdade de Tecnologia de Capão Bonito,FATEC-CB,Pública Estadual,Faculdade,Sudeste,São Paulo
69,15793,Faculdade de Tecnologia de São Sebastião,Fatec SS,Pública Estadual,Faculdade,Sudeste,São Paulo
70,16395,Faculdade de Tecnologia de Carapicuiba,FATEC,Pública Estadual,Faculdade,Sudeste,São Paulo
71,18099,Faculdade de Tecnologia de Diadema Luigi Papaiz,FATEC DIADEMA,Pública Estadual,Faculdade,Sudeste,São Paulo
72,15697,Faculdade de Tecnologia de Araçatuba,FATEC Araçatuba,Pública Estadual,Faculdade,Sudeste,São Paulo
73,35,FACULDADE DE TECNOLOGIA DE AMERICANA,FATEC-AM,Pública Estadual,Faculdade,Sudeste,São Paulo
74,15689,Faculdade de Tecnologia de Bauru,FATEC,Pública Estadual,Faculdade,Sudeste,São Paulo
75,4022,FACULDADE DE TECNOLOGIA DE JUNDIAÍ,FATEC/JD,Pública Estadual,Faculdade,Sudeste,São Paulo
76,15680,Fatec Cruzeiro - Prof. Waldomiro May,,Pública Estadual,Faculdade,Sudeste,São Paulo
77,15752,Faculdade de Tecnologia de Guarulhos,FATEC GR,Pública Estadual,Faculdade,Sudeste,São Paulo
78,4020,FACULDADE DE TECNOLOGIA DE BOTUCATU,FATEC BT,Pública Estadual,Faculdade,Sudeste,São Paulo
79,23700,Faculdade de Tecnologia de Ferraz de Vasconcelos,,Pública Estadual,Faculdade,Sudeste,São Paulo
80,1583,FACULDADE DE TECNOLOGIA DE INDAIATUBA,FATEC-ID,Pública Estadual,Faculdade,Sudeste,São Paulo
81,17953,Faculdade de Tecnologia de Pompeia - Shunji Nishimura,FATEC Pompeia,Pública Estadual,Faculdade,Sudeste,São Paulo
82,19863,Faculdade de Tecnologia de Assis,FATEC Assis,Pública Estadual,Faculdade,Sudeste,São Paulo
83,4926,FACULDADE DE TECNOLOGIA DE PRAIA GRANDE,FATECPG,Pública Estadual,Faculdade,Sudeste,São Paulo
84,22939,Faculdade de Tecnologia de Araraquara,FATEC ARQ,Pública Estadual,Faculdade,Sudeste,São Paulo
85,1584,FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ,FATEC GT,Pública Estadual,Faculdade,Sudeste,São Paulo
86,5633,FACULDADE DE TECNOLOGIA DE BRAGANÇA PAULISTA,,Pública Estadual,Faculdade,Sudeste,São Paulo
87,4026,FACULDADE DE TECNOLOGIA ZONA LESTE,FATEC-ZL,Pública Estadual,Faculdade,Sudeste,São Paulo
88,17977,Faculdade de Tecnologia de Itaquera,FATEC ITAQUERA,Pública Estadual,Faculdade,Sudeste,São Paulo
89,23867,Faculdade de Tecnologia de Sumaré,Fatec de Sumaré,Pública Estadual,Faculdade,Sudeste,São Paulo
90,22319,Faculdade de Tecnologia de Itatiba,Fatec Itatiba,Pública Estadual,Faculdade,Sudeste,São Paulo
91,5099,FACULDADE DE TECNOLOGIA DE SÃO BERNARDO DO CAMPO,FATEC-SB,Pública Estadual,Faculdade,Sudeste,São Paulo
92,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,FATEC-SP,Pública Estadual,Faculdade,Sudeste,São Paulo
93,15688,FACULDADE DE TECONOLOGIA DA ZONA SUL,FATEC ZONASUL,Pública Estadual,Faculdade,Sudeste,São Paulo
94,21713,Faculdade de Tecnologia - Fatec de Ribeirão Preto,,Pública Estadual,Faculdade,Sudeste,São Paulo
95,20478,Faculdade de Tecnologia de Santana de Parnaíba,FATEC-SPB,Pública Estadual,Faculdade,Sudeste,São Paulo
96,1874,FACULDADE DE TECNOLOGIA DE OURINHOS,FATEC,Pública Estadual,Faculdade,Sudeste,São Paulo
97,38,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,Pública Estadual,Universidade,Norte,Pará
98,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Pública Estadual,Universidade,Nordeste,Bahia
99,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pública Estadual,Universidade,Sul,Paraná
